MovieID,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
m1,17,0.0,0,0,0,0,0,0.999,0,0;
m2,15,0.0,0,0.058,0.002,0,0,0.079,0.86,0;
m3,17,6.2,0,0.002,0,0,0.062,0.935,0.001,0;
m4,12,100.0,0,0,0,0,1,0,0,0;
m4,17,98.6,0,0.007,0,0,0.986,0.008,0,0;
m5,42,0.0,0.075,0.02,0,0,0,0.894,0.011,0;
m6,17,0.0,0,0,0,0,0,0.986,0.003,0.011;
m2,30,58.9,0,0,0,0,0.589,0.411,0,0;
m5,17,0.0,0,0,0,0,0,0.998,0.002,0;
m3,30,58.9,0,0,0,0,0.589,0.411,0,0;
m5,25,0.0,0,0,0,0,0,1,0,0;
m7,21,99.9,0,0.001,0,0,0.999,0,0,0;
m4,20,100.0,0,0,0,0,1,0,0,0;
m8,17,6.9,0,0.9,0,0,0.069,0.031,0,0;
m1,18,0.0,0,0,0,0,0,0.992,0.007,0;
m9,17,27.2,0,0.003,0,0,0.272,0.725,0,0;
m7,20,0.0,0,0,0,0,0,0.999,0,0;
m10,16,0.0,0,0,0,0,0,0.997,0.003,0;
m11,19,91.2,0,0.001,0,0,0.912,0.087,0,0;
m5,20,0.0,0,0,0,0,0,0.998,0.002,0;
m1,18,0.0,0,0,0,0,0,0.992,0.007,0;
m3,20,0.0,0,0,0,0,0,0.999,0,0;
m1,18,1.5,0,0.006,0,0,0.015,0.962,0,0.016;
m1,18,0.0,0,0,0,0,0,0.903,0.097,0;
m3,20,98.8,0,0.01,0,0,0.988,0.003,0,0;
m2,18,0.0,0,0,0,0,0,0.407,0.503,0;
m12,19,0.0,0,0,0,0,0,0.999,0,0;
m3,18,99.7,0,0,0,0,0.997,0.003,0,0;
m13,18,100.0,0,0,0,0,1,0,0,0;
m3,18,99.0,0,0,0,0,0.990,0.005,0,0.005;
m3,21,76.6,0,0.007,0,0,0.766,0.227,0,0;
m2,18,0.5,0,0.001,0,0,0.005,0.987,0.006,0;
m14,18,0.0,0,0,0,0,0,0.618,0.381,0;
m15,20,41.2,0,0.002,0,0,0.412,0.585,0,0;
m4,20,100.0,0,0,0,0,1,0,0,0;
m4,18,46.9,0,0.002,0,0,0.469,0.525,0.004,0;
m16,18,0.0,0.011,0.061,0.001,0,0,0.419,0.508,0;
m17,21,0.0,0,0,0,0,0,0.99,0.009,0;
m18,23,99.1,0,0.007,0,0,0.991,0.001,0,0;
m6,23,99.2,0,0.008,0,0,0.992,0,0,0;
m1,22,95.1,0,0,0,0,0.951,0.019,0.029,0;
m19,18,0.0,0,0,0,0,0,0.407,0.503,0;
m20,22,27.9,0,0,0,0,0.279,0.058,0,0.662;
m14,18,0.0,0,0,0,0,0,0.618,0.381,0;
m5,22,36.3,0,0.004,0,0,0.363,0.634,0,0;
m6,21,85.6,0.001,0,0,0.001,0.856,0,0.142,0;
m8,21,11.5,0,0.013,0,0,0.115,0.872,0,0;
m21,21,0.0,0,0.004,0.001,0,0,0.003,0.992,0;
m4,20,100.0,0,0,0,0,1,0,0,0;
m5,18,0.0,0,0,0,0.001,0,0.756,0.007,0.235;
m1,21,0.0,0,0,0,0,0,0.996,0.003,0;
m22,18,0.0,0,0,0,0,0,1,0,0;
m4,21,94.3,0,0.003,0,0,0.943,0.054,0,0;
m23,20,0.0,0,0,0,0,0,0.997,0.002,0.001;
m23,20,0.6,0,0.001,0,0,0.006,0.992,0,0;
m1,23,0.0,0,0,0,0,0,1,0,0;
m24,17,0.0,0,0,0,0,0,0.997,0.003,0;
m1,23,0.0,0,0,0,0,0,1,0,0;
m25,20,12.2,0,0.008,0,0,0.122,0.858,0.012,0;
